infinitive,english,irregular,group,tags
decidir,to decide,no,ir,common
sufrir,to suffer,no,ir,common
cubrir,to cover,no,ir,common
discutir,to discuss,no,ir,common
describir,to describe,no,ir,common
existir,to exist,no,ir,common
consistir,to consist,no,ir,common
estudiar,to study,no,ar,basic
bailar,to dance,no,ar,basic
cantar,to sing,no,ar,basic
ayudar,to help,no,ar,basic
caminar,to walk,no,ar,basic
contestar,to answer,no,ar,basic
cocinar,to cook,no,ar,basic
escuchar,to listen,no,ar,basic
esperar,to wait/hope,no,ar,basic
explicar,to explain,no,ar,common
ganar,to win/earn,no,ar,basic
llorar,to cry,no,ar,basic
mirar,to look at,no,ar,basic
nadar,to swim,no,ar,basic
preguntar,to ask,no,ar,basic
preparar,to prepare,no,ar,basic
tocar,to touch/play,no,ar,basic
viajar,to travel,no,ar,basic
visitar,to visit,no,ar,basic
descansar,to rest,no,ar,basic
enseñar,to teach,no,ar,basic
amar,to love,no,ar,basic
cenar,to have dinner,no,ar,basic
desayunar,to have breakfast,no,ar,basic
entrevistar,to interview,no,ar,common
enviar,to send,yes,ar,common
funcionar,to function,no,ar,common
invitar,to invite,no,ar,basic
lavar,to wash,no,ar,basic
limpiar,to clean,no,ar,basic
notar,to note/notice,no,ar,common
olvidar,to forget,no,ar,common
pagar,to pay,yes,ar,basic
regresar,to return,no,ar,basic
tirar,to throw,no,ar,basic
disfrutar,to enjoy,no,ar,common
importar,to matter,no,ar,common
jugar,to play,yes,ar,basic
contar,to count/tell,yes,ar,common
costar,to cost,yes,ar,common
demostrar,to demonstrate,yes,ar,common
mostrar,to show,yes,ar,common
probar,to try/prove,yes,ar,common
sonar,to sound,yes,ar,common
volar,to fly,yes,ar,common
cerrar,to close,yes,ar,basic
despertar,to wake up,yes,ar,common
recomendar,to recommend,yes,ar,common
sentar,to sit,yes,ar,common
atravesar,to cross,yes,ar,common
calentar,to heat,yes,ar,common
confesar,to confess,yes,ar,common
negar,to deny,yes,ar,common
tropezar,to stumble,yes,ar,common
acostar,to put to bed,yes,ar,common
almorzar,to have lunch,yes,ar,basic
aprobar,to approve/pass,yes,ar,common
colgar,to hang,yes,ar,common
encontrarse,to meet/be located,yes,ar,common
forzar,to force,yes,ar,common
rogar,to beg,yes,ar,common
sollozar,to sob,yes,ar,common
torcer,to twist,yes,er,common
devolver,to return (item),yes,er,common
doler,to hurt,yes,er,common
envolver,to wrap,yes,er,common
llover,to rain,yes,er,common
resolver,to solve,yes,er,common
revolver,to stir,yes,er,common
morir,to die,yes,ir,common
dormir,to sleep,yes,ir,basic
adquirir,to acquire,yes,ir,common
advertir,to warn,yes,ir,common
arrepentirse,to repent,yes,ir,common
conferir,to confer,yes,ir,common
consentir,to consent,yes,ir,common
convertir,to convert,yes,ir,common
digerir,to digest,yes,ir,common
divertir,to amuse,yes,ir,common
herir,to hurt/wound,yes,ir,common
hervir,to boil,yes,ir,common
inferir,to infer,yes,ir,common
invertir,to invest,yes,ir,common
mentir,to lie,yes,ir,common
preferir,to prefer,yes,ir,common
referir,to refer,yes,ir,common
requerir,to require,yes,ir,common
sugerir,to suggest,yes,ir,common
transferir,to transfer,yes,ir,common
añadir,to add,no,ir,common
cumplir,to fulfill,no,ir,common
interrumpir,to interrupt,no,ir,common
reunir,to gather,yes,ir,common
construir,to build,yes,ir,common
contribuir,to contribute,yes,ir,common
destruir,to destroy,yes,ir,common
distribuir,to distribute,yes,ir,common
huir,to flee,yes,ir,common
incluir,to include,yes,ir,common
influir,to influence,yes,ir,common
sustituir,to substitute,yes,ir,common
traducir,to translate,yes,ir,common
conducir,to drive,yes,ir,common
reducir,to reduce,yes,ir,common
reproducir,to reproduce,yes,ir,common
